task id,run #,individual,ensemble_70
359962,4,0.8502046972635209,0.8521439344968756
359968,19,0.9276826922283044,0.9221261734327396
2073,13,0.8075143943231818,0.8996339089001489
359955,4,0.7029727095516569,0.7100389863547758
190137,5,0.9063815789473684,0.9063815789473684
2073,11,0.873038175309218,0.8906908849687666
168784,7,0.9768129219306604,0.977278207456737
359960,19,0.999794634348904,0.9999659273220866
359968,8,0.910220526919806,0.9129368637455724
359968,0,0.9286899660664304,0.9408928409250408
190137,7,0.9181578947368422,0.9161842105263158
359974,14,0.8088955751487548,0.8156106964953173
168784,2,0.953615547531368,0.9563292759155588
359955,1,0.7166179337231969,0.7446393762183235
168784,12,0.9659236654253188,0.9673053072420372
146820,9,0.996787873698354,0.9966619079610346
359960,2,1.0,1.0
2073,9,0.9254198820524128,0.9263494061825078
190411,11,0.9241971620612396,0.9236370425690814
359962,12,0.8678302090066796,0.8678302090066796
359960,14,1.0,1.0
146820,0,0.994961370507222,0.994520490426604
190137,19,0.9127631578947368,0.940921052631579
359968,14,0.9217298689718376,0.9239921069361536
146820,13,0.9979215653342292,0.9980475310715484
190137,14,0.9046710526315792,0.940657894736842
190137,8,0.929342105263158,0.9345394736842104
190137,20,0.9536184210526316,0.9553947368421052
359958,18,0.9181857638888888,0.9180772569444444
359975,11,0.9962189054726368,0.9964179104477612
359975,8,0.9859369817578774,0.9860696517412936
359960,15,1.0,1.0
190411,20,0.9165616442618868,0.9133098394324124
359960,1,1.0,1.0
359962,14,0.8527257056668822,0.8588235294117648
190411,19,0.9120923574807068,0.913772715957182
359974,2,0.8651899081735477,0.8877996949554102
359962,16,0.8246929541047189,0.8298427063132945
2073,10,0.8504504117862159,0.8530182601649534
190137,10,0.9277631578947368,0.9398026315789474
359960,7,1.0,1.0
190137,4,0.925065789473684,0.9250657894736842
190137,6,0.947828947368421,0.9444736842105262
359975,2,0.9907794361525704,0.9940298507462688
190137,17,0.8879605263157895,0.9069736842105264
2073,12,0.8954179985251418,0.885792919901563
359960,17,0.9999339911102754,1.0
359960,3,1.0,1.0
359958,16,0.927517361111111,0.9189453125
146820,11,0.9976696338595902,0.997648639570037
190411,0,0.9094162310181728,0.9084710293751554
190137,3,0.8723026315789473,0.8734868421052632
168784,16,0.967966268569082,0.9682409424289172
359974,17,0.8521777327594106,0.8738719090640263
190137,18,0.9154605263157896,0.9157894736842106
