task_id,seed,unweighted_ensemble,weighted_ensemble,individual
359968,13,0.917,0.971,0.964
359957,16,0.949074074074074,0.9444444444444444,0.949074074074074
359972,8,0.9482926829268292,0.9570731707317072,0.9619512195121952
359953,1,0.9043478260869564,0.8956521739130435,0.9130434782608696
359956,15,0.8530805687203792,0.8530805687203792,0.8436018957345972
359962,1,0.8554502369668247,0.8744075829383886,0.8815165876777251
168757,5,0.77,0.76,0.755
359957,1,0.9629629629629628,0.9675925925925926,0.9537037037037036
359955,14,0.7666666666666667,0.7933333333333333,0.7866666666666666
359955,11,0.7666666666666667,0.7733333333333333,0.8066666666666666
359968,2,0.931,0.967,0.963
190137,19,0.9388560157790928,0.9388560157790928,0.9467455621301776
146818,6,0.8840579710144928,0.8695652173913043,0.8695652173913043
359972,20,0.951219512195122,0.9648780487804878,0.9590243902439024
359974,3,0.6326530612244898,0.6806122448979591,0.6785714285714286
146818,12,0.8260869565217391,0.8478260869565217,0.8478260869565217
359972,12,0.9385365853658536,0.9619512195121952,0.96
359955,2,0.7733333333333333,0.8066666666666666,0.76
146818,7,0.8333333333333334,0.8623188405797102,0.855072463768116
146820,18,0.9462809917355371,0.9865702479338844,0.9865702479338844
359962,5,0.8649289099526066,0.8672985781990521,0.8601895734597157
146820,16,0.9462809917355371,0.9896694214876032,0.981404958677686
168784,19,0.7634961439588689,0.8200514138817481,0.8071979434447301
359956,6,0.8909952606635071,0.90521327014218,0.9004739336492891
190411,20,0.8578313253012049,0.863855421686747,0.8590361445783132
359959,7,0.5864406779661017,0.5694915254237288,0.5525423728813559
190411,10,0.8421686746987952,0.8506024096385543,0.863855421686747
359972,5,0.9229268292682928,0.944390243902439,0.937560975609756
190146,6,0.7588235294117647,0.8470588235294118,0.8470588235294118
168350,1,0.8288621646623496,0.91581868640148,0.91581868640148
190411,8,0.8734939759036144,0.8626506024096385,0.8710843373493976
190146,17,0.7588235294117647,0.8352941176470589,0.8058823529411765
359955,8,0.7666666666666667,0.8133333333333334,0.78
146818,14,0.8623188405797102,0.8840579710144928,0.8768115942028986
190137,17,0.9428007889546351,0.9428007889546351,0.9428007889546351
146820,15,0.9462809917355371,0.9907024793388428,0.9907024793388428
146820,17,0.9462809917355371,0.993801652892562,0.9927685950413224
359964,6,0.9733542319749215,0.974921630094044,0.9670846394984326
359963,0,0.9393939393939394,0.9415584415584416,0.9415584415584416
168784,4,0.7455012853470437,0.7994858611825193,0.8226221079691517
359957,8,0.9629629629629628,0.9675925925925926,0.9722222222222222
146820,4,0.9462809917355371,0.9855371900826446,0.984504132231405
168911,2,0.8123953098827471,0.8341708542713567,0.8224455611390284
359959,6,0.5898305084745763,0.5728813559322034,0.5830508474576271
359958,5,0.8972602739726028,0.910958904109589,0.9075342465753424
190146,18,0.8058823529411765,0.8647058823529412,0.8588235294117647
359972,19,0.944390243902439,0.9560975609756096,0.9580487804878048
146818,2,0.9057971014492754,0.8985507246376812,0.8913043478260869
359971,16,0.956128448665762,0.9706015377657168,0.9706015377657168
359971,20,0.9547715965626412,0.9706015377657168,0.971506105834464
168911,8,0.8358458961474037,0.8492462311557789,0.8358458961474037
359971,18,0.9597467209407508,0.9769335142469472,0.9742198100407056
168757,7,0.77,0.78,0.77
359975,0,0.9941176470588236,0.9950980392156864,0.9941176470588236
359953,5,0.9565217391304348,0.9565217391304348,0.9478260869565216
359956,1,0.9004739336492891,0.9004739336492891,0.8815165876777251
190146,13,0.7529411764705882,0.8,0.8352941176470589
359972,17,0.9560975609756096,0.9707317073170731,0.968780487804878
359974,14,0.6418367346938776,0.7020408163265306,0.6928571428571428
359964,2,0.962382445141066,0.9655172413793104,0.9608150470219436
359956,20,0.8767772511848341,0.8909952606635071,0.8815165876777251
168784,1,0.7429305912596401,0.7866323907455013,0.7686375321336761
359974,9,0.6459183673469387,0.6857142857142857,0.6846938775510204
359972,18,0.937560975609756,0.9560975609756096,0.9551219512195122
2073,9,0.6397306397306397,0.6195286195286195,0.6026936026936027
359971,17,0.9674355495251018,0.9773857982813208,0.9755766621438264
190411,5,0.8554216867469879,0.8578313253012049,0.8590361445783132
146820,0,0.9462809917355371,0.9783057851239668,0.9762396694214877
190137,11,0.9467455621301776,0.9526627218934912,0.9368836291913216
168784,20,0.7223650385604113,0.7712082262210797,0.7686375321336761
