task id,run #,ensemble_5000,ensemble_70
359974,11,0.7981677276065895,0.874932777807745
359960,18,0.9993677959418076,1.0
168784,11,0.9663181939577312,0.9753971717762188
359975,15,0.9982089552238806,0.99681592039801
146820,4,0.9806642593214644,0.989481860933826
359960,20,0.9999462134251292,1.0
359958,5,0.9312065972222222,0.9496527777777778
359962,19,0.8379659556130146,0.8598146951088127
359974,8,0.8187685706591002,0.8558073873573059
359958,6,0.9513888888888888,0.953559027777778
168784,10,0.9641674632759526,0.9723675704814078
168784,13,0.9567984859175986,0.9675133236288852
359955,14,0.7535331384015594,0.7777777777777778
359960,6,1.0,1.0
190137,1,0.9338157894736842,0.934407894736842
190137,11,0.8975,0.9458552631578948
359962,1,0.8466925231631114,0.8538030596854126
359955,5,0.7262426900584795,0.7394005847953216
146820,19,0.9902166610681896,0.9958641249580114
359975,16,0.9893864013267,0.9919071310116088
359975,18,0.8875621890547264,0.9992039800995024
190411,9,0.903239357729649,0.9048030246452576
2073,6,0.904272450120058,0.9154214440166768
168784,14,0.958382256124632,0.9685103688425806
146820,15,0.9985094054417198,0.99844642257306
359968,6,0.9415038103022648,0.9328759319347087
359974,10,0.8606846188999103,0.852016625215321
359955,8,0.7827729044834307,0.7913011695906433
359975,4,0.8919402985074627,0.9932338308457712
2073,2,0.8644820467464575,0.8954090880410004
359955,18,0.7826510721247564,0.7609649122807017
2073,18,0.8730594445827593,0.8791309974219086
168784,3,0.9618151322145696,0.9701611458869502
359968,17,0.917040266184496,0.9171723676714636
359958,13,0.9373914930555556,0.9302300347222224
359962,9,0.830209006679595,0.824348200818789
146820,18,0.995213301981861,0.9964729593550554
359975,1,0.9519071310116086,0.9913101160862354
359958,15,0.9376627604166669,0.94482421875
190137,9,0.9271052631578948,0.9322368421052633
190411,4,0.9391959173512572,0.9421287652476972
359962,15,0.8467787114845938,0.8622495151906917
190137,15,0.9152631578947368,0.9103289473684212
359962,13,0.8219564748976513,0.8232492997198879
359958,8,0.9525824652777776,0.9618055555555556
359962,17,0.8361775479422539,0.8475544063779359
2073,15,0.8650684001914882,0.8641694363152792
359968,16,0.9332804927385464,0.9391012145080458
359962,4,0.8470157293686706,0.8442146089204914
359968,19,0.9143569547304716,0.92034280335868
359955,4,0.7216130604288499,0.7273391812865496
190137,5,0.9184210526315788,0.9071052631578947
2073,11,0.8656777301045672,0.8960612812968171
168784,7,0.9669817756018544,0.9838204477672922
359960,19,0.9999801335028607,1.0
359968,8,0.9114176966454478,0.9277569993147236
359968,0,0.9373673824915992,0.9267332127907264
190137,7,0.9080263157894736,0.9061184210526316
359974,14,0.8538064225819619,0.9030186045173516
168784,2,0.9466232650703316,0.9594917601194763
